id_natureza,codigo,glossario,nome,tipo_natureza,,
692,Art.33° - Caput - da LEI 13.869/2019,Constitui abuso de autoridade qualquer atentado:,"Exigir informação ou cumprimento de obrigação, inclusive o dever de fazer ou de não fazer, sem expresso amparo legal",Tipica,,
1836,Art. 147-A do CPB,"Perseguir alguém, reiteradamente e por qualquer meio, ameaçando-lhe a integridade física ou psicológica, restringindo-lhe a capacidade de locomoção ou, de qualquer forma, invadindo ou perturbando sua esfera de liberdade ou privacidade.",Perseguição,Tipica,,
1837,Art 147-A,"Perseguir alguém, reiteradamente e por qualquer meio, ameaçando-lhe a integridade física ou psicológica, restringindo-lhe a capacidade de locomoção ou, de qualquer forma, invadindo ou perturbando sua esfera de liberdade ou privacidade. (Incluído pela Lei nº 14.132, de 2021), Sujeito a pena de 06 meses a 2 anos",PERSEGUIÇÃO (ACRESCENTADO PELA LEI Nº 14.132/2021) (ART. 147-A DO CPB (ACRESCENTADO PELA LEI Nº 14.132/2021) ),Tipica,,
1841,Art 147-B,"Causar dano emocional à mulher que a prejudique e perturbe seu pleno desenvolvimento ou que vise a degradar ou a controlar suas ações, comportamentos, crenças e decisões, mediante ameaça, constrangimento, humilhação, manipulação, isolamento, chantagem, ridicularização, limitação do direito de ir e vir ou qualquer outro meio que cause prejuízo à sua saúde psicológica e autodeterminação:     (Incluído pela Lei nº 14.188, de 2021)

Pena - reclusão, de 6 (seis) meses a 2 (dois) anos, e multa, se a conduta não constitui crime mais grave.",Causar dano emocional à mulher,Tipica,,
1527,.,Trata-se de morte decorrente de acidente de trânsito. ,Morte acidental de trânsito,Atipica,,
1842,Art 308 CTB,"Participar, na direção de veículo automotor, em via pública, de corrida, disputa ou competição automobilística ou ainda de exibição ou demonstração de perícia em manobra de veículo automotor, não autorizada pela autoridade competente, gerando situação de risco à incolumidade pública ou privada:           (Redação dada pela Lei nº 13.546, de 2017)   (Vigência)
Penas - detenção, de 6 (seis) meses a 3 (três) anos, multa e suspensão ou proibição de se obter a permissão ou a habilitação para dirigir veículo automotor.","Disputa, competição automobilistica, exibição ou demostração manobra de veículo automotor sem autorização da autoridade competente.",Tipica,,
1845,Art. 129 § 13,"Se a lesão for praticada contra a mulher, por razões da condição do sexo feminino, nos termos do § 2º-A do art. 121 deste Código:    (Incluído pela Lei nº 14.188, de 2021)
Pena - reclusão, de 1 (um) a 4 (quatro anos). ","Lesão corporal praticada contra a mulher, por razões da condição do sexo feminino.",Tipica,,
1846,Art 171 & 2 - A,"§ 2º-A. A pena é de reclusão, de 4 (quatro) a 8 (oito) anos, e multa, se a fraude é cometida com a utilização de informações fornecidas pela vítima ou por terceiro induzido a erro por meio de redes sociais, contatos telefônicos ou envio de correio eletrônico fraudulento, ou por qualquer outro meio fraudulento análogo.",Estelionato - Fraude eletrônica,Tipica,,
1847,"Art. 16, § 2º da Lei 10.826/2003","§ 2º Se as condutas descritas no caput e no § 1º deste artigo envolverem arma de fogo de uso proibido, a pena é de reclusão, de 4 (quatro) a 12 (doze) anos.",Posse ou porte ilegal de arma de fogo de uso restrito,Tipica,,
1885,Art. 39.§ 5º Lei9.504/1997,"§ 5º Constituem crimes, no dia da eleição, puníveis com detenção, de seis meses a um ano, com a alternativa de prestação de serviços à comunidade pelo mesmo período, e multa no valor de cinco mil a quinze mil UFIR:
I - o uso de alto-falantes e amplificadores de som ou a promoção de comício ou carreata;

II - a arregimentação de eleitor ou a propaganda de boca de urna;             (Redação dada pela Lei nº 11.300, de 2006)

III - a divulgação de qualquer espécie de propaganda de partidos políticos ou de seus candidatos.                (Redação dada pela Lei nº 12.034, de 2009)

IV - a publicação de novos conteúdos ou o impulsionamento de conteúdos nas aplicações de internet de que trata o art. 57-B desta Lei, podendo ser mantidos em funcionamento as aplicações e os conteúdos publicados anteriormente.               (Incluído dada pela Lei nº 13.488, de 2017)","Art. 39. A realização de qualquer ato de propaganda partidária ou eleitoral, em recinto aberto ou fechado, não depende de licença da polícia. ",Tipica,,
1849,"art. 161, II, §3º, do CP","§ 3º - Se a propriedade é particular, e não há emprego de violência, somente se procede mediante queixa.",Esbulho possessório sem emprego de violência.,Tipica,,
350,"Art. 289, § 1° do CPB","Nas mesmas penas incorre quem, por conta própria ou alheia, importa ou exporta, adquire, vende, troca, cede, empresta, guarda ou introduz na circulação moeda falsa.",Moeda Falsa - § 1° do CPB,Tipica,,
1504," Art. 184, § 3º ECA",,Cumprimento de mandado - Busca e apreensão de adolescente autor,Atipica,,
1886,"Art. 141,§ 2º","§ 2º Se o crime é cometido ou divulgado em quaisquer modalidades das redes sociais da rede mundial de computadores, aplica-se em triplo a pena.        (Incluído pela Lei nº 13.964, de 2019)  ","Art. 141 - As penas cominadas neste Capítulo aumentam-se de um terço, se qualquer dos crimes é cometido:",Tipica,,
1042,"Art. 16, § 1º, Inc. I do ESTATUTO DE DESARMAMENTO","§ 1º. Nas mesmas penas incorre quem: I - suprimir ou alterar marca, numeração ou qualquer sinal de identificação de arma de fogo ou artefato","Suprimir ou alterar marca, numeração ou qualquer sinal de identificação de arma de fogo ou artefato;",Tipica,,
1850,"Art. 303, § 2º da  LEI DOS CRIMES DE TRÂNSITO - CTB","§ 2o  A pena privativa de liberdade é de reclusão de dois a cinco anos, sem prejuízo das outras penas previstas neste artigo, se o agente conduz o veículo com capacidade psicomotora alterada em razão da influência de álcool ou de outra substância psicoativa que determine dependência, e se do crime resultar lesão corporal de natureza grave ou gravíssima.      (Incluído pela Lei nº 13.546, de 2017) ",Lesão corporal culposa na direção de veículo automotor - aumento de pena,Tipica,,
1851,"Art. 155, § 4°B,  do CPB","§ 4º-B. A pena é de reclusão, de 4 (quatro) a 8 (oito) anos, e multa, se o furto mediante fraude é cometido por meio de dispositivo eletrônico ou informático, conectado ou não à rede de computadores, com ou sem a violação de mecanismo de segurança ou a utilização de programa malicioso, ou por qualquer outro meio fraudulento análogo.      (Incluído pela Lei nº 14.155, de 2021)",Furto Qualificado - mediante fraude é cometido por meio de dispositivo eletrônico ou informático,Tipica,,
1728,,,Preservação de Direito,Atipica,,
1884,Art. 674," Art. 674.  Transitando em julgado a sentença que impuser pena privativa de liberdade, se o réu já estiver preso, ou vier a ser preso, o juiz ordenará a expedição de carta de guia para o cumprimento da pena."," Art. 674.  Transitando em julgado a sentença que impuser pena privativa de liberdade, se o réu já estiver preso, ou vier a ser preso, o juiz ordenará a expedição de carta de guia para o cumprimento da pena.",Atipica,,
1039,Art. 14 do ESTATUTO DE DESARMAMENTO,"Parágrafo único. O crime previsto neste artigo é inafiançável, salvo quando a arma de fogo estiver registrada em nome do agente.                (Vide Adin 3.112-1)",Porte ilegal de arma de fogo de uso permitido - inafiançável,Tipica,,
1848,"Art. 16, paragrafo 2º da Lei 10.826/2003","§ 2º Se as condutas descritas no caput e no § 1º deste artigo envolverem arma de fogo de uso proibido, a pena é de reclusão, de 4 (quatro) a 12 (doze) anos.",Posse ou porte ilegal de arma de fogo de uso proibido. ,Tipica,,
1887,"Art. 1º,Inciso I, alínea ""a"", Lei 9.455/97","Constranger alguém com emprego de violência ou grave ameaça, causando-lhe sofrimento físico ou mental, com o fim de obter informação, declaração ou confissão da vítima ou de terceira pessoa;",Tortura Prova,Tipica,,
1888,"Art. 1º,Inciso II, alínea ""a"", Lei 9.455/97"," Submeter alguém, sob sua guarda, poder ou autoridade, com emprego de violência ou grave ameaça, a intenso sofrimento físico ou mental, como forma de aplicar castigo pessoal ou medida de caráter preventivo.",Tortura Castigo,Tipica,,
1889,"Art. 1º,§ 1º,  Lei 9.455/97","Na mesma pena incorre quem submete pessoa presa ou sujeita a medida de segurança a sofrimento físico ou mental, por intermédio da prática de ato não previsto em lei ou não resultante de medida legal.",Tortura do Encarcerado,Tipica,,
74,"Art. 154 A, § 1° do CPB","Na mesma pena incorre quem produz, oferece, distribui, vende ou difunde dispositivo ou programa de computador com o intuito de permitir a prática da conduta definida no caput.  ","Invasão de dispositivo informático venda, divulgação ou distribuição",Tipica,,
912,"Art. 1°, § 2° da LEI DOS CRIMES DE TORTURA","Aquele que se omite em face dessas condutas, quando tinha o dever de evitá-las ou apurá-las, incorre na pena de detenção de um a quatro anos.",Tortura - impropria ou por omissão ,Tipica,,
1890,"Art. 1º, § 4º, I, Lei 9.455/97", Se o crime é cometido por agente público.,Tortura com causa de aumento de pena - contra agente publico,Tipica,,
1108,,,Fuga do lar,Atipica,,
1891,"Art. 1º, § 4º, II, Lei 9.455/97","se o crime é cometido contra criança, gestante, portador de deficiência, adolescente ou maior de 60 (sessenta) anos;     '(Redação dada pela Lei nº 10.741, de 2003)","Tortura com causa de aumento de pena - criança, gestante, deficiente, adolescente, idoso",Tipica,,
1892,"Art. 1º, § 4º, III, Lei 9.455/97",se o crime é cometido mediante sequestro.,Tortura com causa de aumento de pena - mediante sequestro,Tipica,,
1893,Art. 337-E do CPB,"Admitir, possibilitar ou dar causa à contratação direta fora das hipóteses previstas em lei",Contratação direta ilegal,Tipica,,
1895,Art. 337-G do CPB,"Patrocinar, direta ou indiretamente, interesse privado perante a Administração Pública, dando causa à instauração de licitação ou à celebração de contrato cuja invalidação vier a ser decretada pelo Poder Judiciário",Patrocínio de contratação indevida,Tipica,,
1894,Art. 337-F do CPB,"Frustrar ou fraudar, com o intuito de obter para si ou para outrem vantagem decorrente da adjudicação do objeto da licitação, o caráter competitivo do processo licitatório:",Frustração do caráter competitivo de licitação,Tipica,,
1896,Art. 337-H do CPB,"Admitir, possibilitar ou dar causa a qualquer modificação ou vantagem, inclusive prorrogação contratual, em favor do contratado, durante a execução dos contratos celebrados com a Administração Pública, sem autorização em lei, no edital da licitação ou nos respectivos instrumentos contratuais, ou, ainda, pagar fatura com preterição da ordem cronológica de sua exigibilidade:       (Incluído pela Lei nº 14.133, de 2021)",Modificação ou pagamento irregular em contrato administrativo,Tipica,,
1897,Art. 337-I do CPB,"Impedir, perturbar ou fraudar a realização de qualquer ato de processo licitatório:      (Incluído pela Lei nº 14.133, de 2021)",Perturbação de processo licitatório,Tipica,,
242,Art. 243 do CPB,"Deixar em asilo de expostos ou outra instituição de assistência filho próprio ou alheio, ocultando-lhe a filiação ou atribuindo-lhe outra, com o fim de prejudicar direito inerente ao estado civil:",Sonegação de estado de filiação,Tipica,,
1898,Art. 337-J do CPB, Devassar o sigilo de proposta apresentada em processo licitatório ou proporcionar a terceiro o ensejo de devassá-lo:,Violação de sigilo em licitação ,Tipica,,
1899,Art. 337-K do CPB,"Afastar ou tentar afastar licitante por meio de violência, grave ameaça, fraude ou oferecimento de vantagem de qualquer tipo",Afastamento de licitante,Tipica,,
1901,"Art. 337-L, I, do CPB"," Fraudar, em prejuízo da Administração Pública, licitação ou contrato dela decorrente, mediante: ",Fraude em licitação ou contrato,Tipica,,
1900,"Art. 337-K, Paragrafo Único do CPB", Incorre na mesma pena quem se abstém ou desiste de licitar em razão de vantagem oferecida.    ,Afastamento de licitante - abstenção ou desistência,Tipica,,
1902,"Art. 337-L, II, do CPB"," fornecimento, como verdadeira ou perfeita, de mercadoria falsificada, deteriorada, inservível para consumo ou com prazo de validade vencido.",Fraude em licitação ou contrato - mercadoria falsificada,Tipica,,
497,Art. 344 do CPB,"Usar de violência ou grave ameaça, com o fim de favorecer interesse próprio ou alheio, contra autoridade, parte, ou qualquer outra pessoa que funciona ou é chamada a intervir em processo judicial, policial ou administrativo, ou em juízo arbitral:",Coação no curso do processo,Tipica,,
1913,"Art. 9º, Parágrafo único, II, LEI Nº 13.869/2019","Parágrafo único.  Incorre na mesma pena a autoridade judiciária que, dentro de prazo razoável, deixar de:
II - substituir a prisão preventiva por medida cautelar diversa ou de conceder liberdade provisória, quando manifestamente cabível;",Decretar prisão em desconformidade com as hipóteses legais - Deixar de Substituir prisão preventiva,Tipica,,
1903,"Art. 337-L, III, do CPB",entrega de uma mercadoria por outra,Fraude em licitação ou contrato - mercadoria por outra,Tipica,,
1904,"Art. 337-L, IV, do CPB",,Fraude em licitação ou contrato - alteração da susbstância,Tipica,,
1906,"Art. 337-M, do CPB",Admitir à licitação empresa ou profissional declarado inidôneo:,Contratação inidônea,Tipica,,
1909,"Art. 337-O, do CPB"," Omitir, modificar ou entregar à Administração Pública levantamento cadastral ou condição de contorno em relevante dissonância com a realidade, em frustração ao caráter competitivo da licitação ou em detrimento da seleção da proposta mais vantajosa para a Administração Pública, em contratação para a elaboração de projeto básico, projeto executivo ou anteprojeto, em diálogo competitivo ou em procedimento de manifestação de interesse: ",Omissão grave de dado ou de informação por projetista,Tipica,,
1910,"Art. 344, Parágrafo Ùnico, CPB",. A pena aumenta-se de 1/3 (um terço) até a metade se o processo envolver crime contra a dignidade sexual.,Coação no curso do processo - contra dignidade sexual,Tipica,,
1912,"Art. 9º, Parágrafo único, I, LEI Nº 13.869/2019","Parágrafo único.  Incorre na mesma pena a autoridade judiciária que, dentro de prazo razoável, deixar de:
I - relaxar a prisão manifestamente ilegal;",Decretar prisão em desconformidade com as hipóteses legais - Relaxar prisão ilegal,Tipica,,
1905,"Art. 337-L, V, do CPB",qualquer meio fraudulento que torne injustamente mais onerosa para a Administração Pública a proposta ou a execução do contrato,Fraude em licitação ou contrato - meio fraudulento,Tipica,,
1907,"Art. 337-M, § 1º, do CPB",§ 1º Celebrar contrato com empresa ou profissional declarado inidôneo:,Contratação inidônea - celebrar contrato,Tipica,,
1908,"Art. 337-N, do CPB","Obstar, impedir ou dificultar injustamente a inscrição de qualquer interessado nos registros cadastrais ou promover indevidamente a alteração, a suspensão ou o cancelamento de registro do inscrito:",Impedimento indevido,Tipica,,
1915,"Art. 10, LEI Nº 13.869/2019", Decretar a condução coercitiva de testemunha ou investigado manifestamente descabida ou sem prévia intimação de comparecimento ao juízo:,Decretar a condução coercitiva descabida,Tipica,,
1911,"Art. 9º, LEI Nº 13.869/2019", Decretar medida de privação da liberdade em manifesta desconformidade com as hipóteses legais,Decretar prisão em desconformidade com as hipóteses legais,Tipica,,
1914,"Art. 9º, Parágrafo único, III, LEI Nº 13.869/2019","Parágrafo único.  Incorre na mesma pena a autoridade judiciária que, dentro de prazo razoável, deixar de:

III - deferir liminar ou ordem de habeas corpus, quando manifestamente cabível.’",Decretar prisão em desconformidade com as hipóteses legais - Deixar de deferir Liminar,Tipica,,
1916,"Art. 12, LEI Nº 13.869/2019",Deixar injustificadamente de comunicar prisão em flagrante à autoridade judiciária no prazo legal:,Não comunicar prisão em flagrante à autoridade judiciaria em prazo legal,Tipica,,
1917,"Art. 12, Parágrafo Único, I, LEI Nº 13.869/2019"," deixa de comunicar, imediatamente, a execução de prisão temporária ou preventiva à autoridade judiciária que a decretou;",Não comunicar prisão em temporária ou preventiva à autoridade judiciaria em prazo legal,Tipica,,
1918,"Art. 12, Parágrafo Único, II, LEI Nº 13.869/2019","deixa de comunicar, imediatamente, a prisão de qualquer pessoa e o local onde se encontra à sua família ou à pessoa por ela indicada;",Deixa de comunicar a prisão de qualquer pessoa e o local,Tipica,,
1919,"Art. 12, Parágrafo Único, III, LEI Nº 13.869/2019","deixa de entregar ao preso, no prazo de 24 (vinte e quatro) horas, a nota de culpa, assinada pela autoridade, com o motivo da prisão e os nomes do condutor e das testemunhas;","Deixa de entregar ao preso, no prazo de 24 (vinte e quatro) horas, a nota de culpa",Tipica,,
1920,"Art. 12, Parágrafo Único, IV, LEI Nº 13.869/2019","Prolonga a execução de pena privativa de liberdade, de prisão temporária, de prisão preventiva, de medida de segurança ou de internação, deixando, sem motivo justo e excepcionalíssimo, de executar o alvará de soltura imediatamente após recebido ou de promover a soltura do preso quando esgotado o prazo judicial ou legal.",Prolongar a execução de pena privativa de liberdade,Tipica,,
1921,"Art. 13, LEI Nº 13.869/2019","Art. 13.  Constranger o preso ou o detento, mediante violência, grave ameaça ou redução de sua capacidade de resistência"," Constranger o preso ou o detento, mediante violência",Tipica,,
1922,"Art. 13, I, LEI Nº 13.869/2019",exibir-se ou ter seu corpo ou parte dele exibido à curiosidade pública,false,false,false,
1923,"Art. 13, II, LEI Nº 13.869/2019", submeter-se a situação vexatória ou a constrangimento não autorizado em lei,false,Ativo,false,false
1928,"Art. 15A, I, LEI Nº 13.869/2019","Submeter a vítima de infração penal ou a testemunha de crimes violentos a procedimentos desnecessários, repetitivos ou invasivos, que a leve a reviver, sem estrita necessidade:
I - a situação de violência",Submeter a vítima de infração penal ou a testemunha de crimes violentos a procedimentos desnecessários - situação de violência,Tipica,,
1932,"Art. 16, LEI Nº 13.869/2019",Deixar de identificar-se ou identificar-se falsamente ao preso por ocasião de sua captura ou quando deva fazê-lo durante sua detenção ou prisão:,Agente publico não de identificar ou se identificar falsamente,Tipica,,
1924,"Art. 13, III, LEI Nº 13.869/2019",produzir prova contra si mesmo ou contra terceiro,Produzir prova contra si mesmo ou contra terceiro,Tipica,,
1925,"Art. 15, LEI Nº 13.869/2019","Constranger a depor, sob ameaça de prisão, pessoa que, em razão de função, ministério, ofício ou profissão, deva guardar segredo ou resguardar sigilo","Constranger a depor, sob ameaça de prisão",Tipica,,
1930,"Art. 15A, § 1º, LEI Nº 13.869/2019","Se o agente público permitir que terceiro intimide a vítima de crimes violentos, gerando indevida revitimização, aplica-se a pena aumentada de 2/3 (dois terços)",Se o agente público permitir que terceiro intimide a vítima de crimes violentos,Tipica,,
1926,"Art. 15, Parágrafo Único, I, LEI Nº 13.869/2019","Parágrafo único.  Incorre na mesma pena quem prossegue com o interrogatório:    
I - de pessoa que tenha decidido exercer o direito ao silêncio;",Prosseguir com interrogatório de pessoa que tenha decidido exercer o direito de silêncio,Tipica,,
1927,"Art. 15, Parágrafo Único, II, LEI Nº 13.869/2019","Parágrafo único.  Incorre na mesma pena quem prossegue com o interrogatório:
II - de pessoa que tenha optado por ser assistida por advogado ou defensor público, sem a presença de seu patrono.",Prosseguir com interrogatório de pessoa que tenha optado por ser assistida por advogado,Tipica,,
1931,"Art. 15A, § 2º, LEI Nº 13.869/2019","Se o agente público intimidar a vítima de crimes violentos, gerando indevida revitimização, aplica-se a pena em dobro.",Se o agente público intimidar a vítima de crimes violentos,Tipica,,
1938,"Art. 20, Parágrafo Único, LEI Nº 13.869/2019"," Incorre na mesma pena quem impede o preso, o réu solto ou o investigado de entrevistar-se pessoal e reservadamente com seu advogado ou defensor, por prazo razoável, antes de audiência judicial, e de sentar-se ao seu lado e com ele comunicar-se durante a audiência, salvo no curso de interrogatório ou no caso de audiência realizada por videoconferência.","Impedir que o preso, réu solto ou investigado converse reservadamente com seu advogado ou defensor, por prazo razoável, antes de audiência judicial, e de sentar-se ao seu lado e com ele comunicar-se durante a audiência, salvo no curso de interrogatório ou no caso de audiência realizada por videoconferência.",Tipica,,
1929,"Art. 15A, II, LEI Nº 13.869/2019","Art. 15-A. Submeter a vítima de infração penal ou a testemunha de crimes violentos a procedimentos desnecessários, repetitivos ou invasivos, que a leve a reviver, sem estrita necessidade:     
II - outras situações potencialmente geradoras de sofrimento ou estigmatização:   ",Submeter a vítima de infração penal ou a testemunha de crimes violentos a procedimentos desnecessários  -  outras situações potencialmente geradoras de sofrimento ou estigmatização,Tipica,,
1933,"Art. 16, Parágrafo Único, II, LEI Nº 13.869/2019","Incorre na mesma pena quem, como responsável por interrogatório em sede de procedimento investigatório de infração penal, deixa de identificar-se ao preso ou atribui a si mesmo falsa identidade, cargo ou função.",Responsável pelo Interrogatório não se identifica ou se identifica falsamente ao preso.,Tipica,,
1937,"Art. 20, LEI Nº 13.869/2019"," Impedir, sem justa causa, a entrevista pessoal e reservada do preso com seu advogado."," Impedir, sem justa causa, a entrevista pessoal e reservada do preso com seu advogado",Tipica,,
1944,"Art. 23, LEI Nº 13.869/2019","Inovar artificiosamente, no curso de diligência, de investigação ou de processo, o estado de lugar, de coisa ou de pessoa, com o fim de eximir-se de responsabilidade ou de responsabilizar criminalmente alguém ou agravar-lhe a responsabilidade","Inovar artificiosamente, no curso de diligência, de investigação ou de processo, o estado de lugar, de coisa ou de pessoa, com o fim de eximir-se de responsabilidade ou de responsabilizar criminalmente alguém ou agravar-lhe a responsabilidade",Tipica,,
1945,"Art. 23, I, LEI Nº 13.869/2019",eximir-se de responsabilidade civil ou administrativa por excesso praticado no curso de diligência,false,Ativo,false,false
1934,"Art. 18, LEI Nº 13.869/2019","Submeter o preso a interrogatório policial durante o período de repouso noturno, salvo se capturado em flagrante delito ou se ele, devidamente assistido, consentir em prestar declarações:",Interrogar o preso durante o repouso noturno,Tipica,,
1936,"Art. 19, Parágrafo Único, LEI Nº 13.869/2019"," Incorre na mesma pena o magistrado que, ciente do impedimento ou da demora, deixa de tomar as providências tendentes a saná-lo ou, não sendo competente para decidir sobre a prisão, deixa de enviar o pedido à autoridade judiciária que o seja.","O magistrado  magistrado que, ciente do impedimento ou da demora, deixa de tomar as providências tendentes a saná-lo ou, não sendo competente para decidir sobre a prisão, deixa de enviar o pedido à autoridade judiciária que o seja.",Tipica,,
1935,"Art. 19, LEI Nº 13.869/2019"," Impedir ou retardar, injustificadamente, o envio de pleito de preso à autoridade judiciária competente para a apreciação da legalidade de sua prisão ou das circunstâncias de sua custódia:","agente publico que impedir ou retardar, injustificadamente, o envio de pleito de preso à autoridade judiciária competente para a apreciação da legalidade de sua prisão ou das circunstâncias de sua custódia",Tipica,,
1940,"Art. 21, Parágrafo Único, LEI Nº 13.869/2019"," Incorre na mesma pena quem mantém, na mesma cela, criança ou adolescente na companhia de maior de idade ou em ambiente inadequado, observado o disposto na Lei nº 8.069, de 13 de julho de 1990 ","Manter na mesma cela, criança ou adolescente na companhia de maior de idade ou em ambiente inadequado, observado o disposto na Lei nº 8.069, de 13 de julho de 1990 ",Tipica,,
1939,"Art. 21, LEI Nº 13.869/2019", Manter presos de ambos os sexos na mesma cela ou espaço de confinamento:, Manter presos de ambos os sexos na mesma cela ou espaço de confinamento,Tipica,,
1942,"Art. 22,§ 1º, I, LEI Nº 13.869/2019","coage alguém, mediante violência ou grave ameaça, a franquear-lhe o acesso a imóvel ou suas dependências;","Coagir alguém, mediante violência ou grave ameaça, a franquear-lhe o acesso a imóvel ou suas dependências;",Tipica,,
1943,"Art. 22,§ 1º, III, LEI Nº 13.869/2019",cumpre mandado de busca e apreensão domiciliar após as 21h (vinte e uma horas) ou antes das 5h (cinco horas).,Cumprir mandado de busca e apreensão domiciliar após as 21h (vinte e uma horas) ou antes das 5h (cinco horas).,Tipica,,
1941,"Art. 22, LEI Nº 13.869/2019","Invadir ou adentrar, clandestina ou astuciosamente, ou à revelia da vontade do ocupante, imóvel alheio ou suas dependências, ou nele permanecer nas mesmas condições, sem determinação judicial ou fora das condições estabelecidas em lei:","Invadir ou adentrar, clandestina ou astuciosamente, ou à revelia da vontade do ocupante, imóvel alheio ou suas dependências, ou nele permanecer nas mesmas condições, sem determinação judicial ou fora das condições estabelecidas em lei:",Tipica,,
1530,Art. 308 - CTB,"Participar, na direção de veículo automotor, em via pública, de corrida, disputa ou competição automobilística não autorizada pela autoridade competente, gerando situação de risco à incolumidade pública ou privada: (Redação dada pela Lei nº 12.971, de 2014)","Participar de disputa em veículo automotor - ""racha""",Tipica,,
1246,"Art. 16 Parágrafo único, Inc. IV do ESTATUTO DE DESARMAMENTO","Possuir, deter, portar, adquirir, fornecer, receber, ter em depósito, transportar, ceder, ainda que gratuitamente, emprestar, remeter, empregar, manter sob sua guarda ou ocultar arma de fogo, acessório ou munição de uso proibido ou restrito, sem autorização e em desacordo com determinação legal ou regulamentar:  Parágrafo único. Nas mesmas penas incorre quem:  IV ¿ portar, possuir, adquirir, transportar ou fornecer arma de fogo com numeração, marca ou qualquer outro sinal de identificação raspado, suprimido ou adulterado",Posse ou porte ilegal de arma de fogo de uso restrito - Concurso de Agentes,Tipica,,
1247,"Art. 16 Parágrafo único, Inc.V do ESTATUTO DE DESARMAMENTO","Possuir, deter, portar, adquirir, fornecer, receber, ter em depósito, transportar, ceder, ainda que gratuitamente, emprestar, remeter, empregar, manter sob sua guarda ou ocultar arma de fogo, acessório ou munição de uso proibido ou restrito, sem autorização e em desacordo com determinação legal ou regulamentar: Parágrafo único. Nas mesmas penas incorre quem: V ¿ vender, entregar ou fornecer, ainda que gratuitamente, arma de fogo, acessório, munição ou explosivo a criança ou adolescente ou juiz",Posse ou porte ilegal de arma de fogo de uso restrito - Concurso de Agentes,Tipica,,
